pokedex	slug	source
001	bulbasaur	scarlet-violet
002	ivysaur	scarlet-violet
003	venusaur	scarlet-violet
004	charmander	scarlet-violet
005	charmeleon	scarlet-violet
006	charizard	scarlet-violet
007	squirtle	scarlet-violet
008	wartortle	scarlet-violet
009	blastoise	scarlet-violet
010	caterpie	brilliant-diamond-shining-pearl
011	metapod	brilliant-diamond-shining-pearl
012	butterfree	brilliant-diamond-shining-pearl
013	weedle	brilliant-diamond-shining-pearl
014	kakuna	brilliant-diamond-shining-pearl
015	beedrill	brilliant-diamond-shining-pearl
016	pidgey	brilliant-diamond-shining-pearl
017	pidgeotto	brilliant-diamond-shining-pearl
018	pidgeot	brilliant-diamond-shining-pearl
019	rattata	brilliant-diamond-shining-pearl
020	raticate	brilliant-diamond-shining-pearl
021	spearow	brilliant-diamond-shining-pearl
022	fearow	brilliant-diamond-shining-pearl
023	ekans	scarlet-violet
024	arbok	scarlet-violet
025	pikachu	scarlet-violet
026	raichu	scarlet-violet
027	sandshrew	scarlet-violet
028	sandslash	scarlet-violet
029	nidoran-f	brilliant-diamond-shining-pearl
030	nidorina	brilliant-diamond-shining-pearl
031	nidoqueen	brilliant-diamond-shining-pearl
032	nidoran-m	brilliant-diamond-shining-pearl
033	nidorino	brilliant-diamond-shining-pearl
034	nidoking	brilliant-diamond-shining-pearl
035	clefairy	scarlet-violet
036	clefable	scarlet-violet
037	vulpix	scarlet-violet
038	ninetales	scarlet-violet
039	jigglypuff	scarlet-violet
040	wigglytuff	scarlet-violet
041	zubat	brilliant-diamond-shining-pearl
042	golbat	brilliant-diamond-shining-pearl
043	oddish	scarlet-violet
044	gloom	scarlet-violet
045	vileplume	scarlet-violet
046	paras	brilliant-diamond-shining-pearl
047	parasect	brilliant-diamond-shining-pearl
048	venonat	scarlet-violet
049	venomoth	scarlet-violet
050	diglett	scarlet-violet
051	dugtrio	scarlet-violet
052	meowth	scarlet-violet
053	persian	scarlet-violet
054	psyduck	scarlet-violet
055	golduck	scarlet-violet
056	mankey	scarlet-violet
057	primeape	scarlet-violet
058	growlithe	scarlet-violet
059	arcanine	scarlet-violet
060	poliwag	scarlet-violet
061	poliwhirl	scarlet-violet
062	poliwrath	scarlet-violet
063	abra	brilliant-diamond-shining-pearl
064	kadabra	brilliant-diamond-shining-pearl
065	alakazam	brilliant-diamond-shining-pearl
066	machop	brilliant-diamond-shining-pearl
067	machoke	brilliant-diamond-shining-pearl
068	machamp	brilliant-diamond-shining-pearl
069	bellsprout	scarlet-violet
070	weepinbell	scarlet-violet
071	victreebel	scarlet-violet
072	tentacool	scarlet-violet
073	tentacruel	scarlet-violet
074	geodude	scarlet-violet
075	graveler	scarlet-violet
076	golem	scarlet-violet
077	ponyta	brilliant-diamond-shining-pearl
078	rapidash	brilliant-diamond-shining-pearl
079	slowpoke	scarlet-violet
080	slowbro	scarlet-violet
081	magnemite	scarlet-violet
082	magneton	scarlet-violet
083	farfetchd	brilliant-diamond-shining-pearl
084	doduo	scarlet-violet
085	dodrio	scarlet-violet
086	seel	scarlet-violet
087	dewgong	scarlet-violet
088	grimer	scarlet-violet
089	muk	scarlet-violet
090	shellder	scarlet-violet
091	cloyster	scarlet-violet
092	gastly	scarlet-violet
093	haunter	scarlet-violet
094	gengar	scarlet-violet
095	onix	brilliant-diamond-shining-pearl
096	drowzee	scarlet-violet
097	hypno	scarlet-violet
098	krabby	brilliant-diamond-shining-pearl
099	kingler	brilliant-diamond-shining-pearl
100	voltorb	scarlet-violet
101	electrode	scarlet-violet
102	exeggcute	scarlet-violet
103	exeggutor	scarlet-violet
104	cubone	brilliant-diamond-shining-pearl
105	marowak	brilliant-diamond-shining-pearl
106	hitmonlee	scarlet-violet
107	hitmonchan	scarlet-violet
108	lickitung	brilliant-diamond-shining-pearl
109	koffing	scarlet-violet
110	weezing	scarlet-violet
111	rhyhorn	scarlet-violet
112	rhydon	scarlet-violet
113	chansey	scarlet-violet
114	tangela	brilliant-diamond-shining-pearl
115	kangaskhan	brilliant-diamond-shining-pearl
116	horsea	scarlet-violet
117	seadra	scarlet-violet
118	goldeen	brilliant-diamond-shining-pearl
119	seaking	brilliant-diamond-shining-pearl
120	staryu	brilliant-diamond-shining-pearl
121	starmie	brilliant-diamond-shining-pearl
122	mr-mime	brilliant-diamond-shining-pearl
123	scyther	scarlet-violet
124	jynx	brilliant-diamond-shining-pearl
125	electabuzz	scarlet-violet
126	magmar	scarlet-violet
127	pinsir	brilliant-diamond-shining-pearl
128	tauros	scarlet-violet
129	magikarp	scarlet-violet
130	gyarados	scarlet-violet
131	lapras	scarlet-violet
132	ditto	scarlet-violet
133	eevee	scarlet-violet
134	vaporeon	scarlet-violet
135	jolteon	scarlet-violet
136	flareon	scarlet-violet
137	porygon	scarlet-violet
138	omanyte	brilliant-diamond-shining-pearl
139	omastar	brilliant-diamond-shining-pearl
140	kabuto	brilliant-diamond-shining-pearl
141	kabutops	brilliant-diamond-shining-pearl
142	aerodactyl	brilliant-diamond-shining-pearl
143	snorlax	scarlet-violet
144	articuno	scarlet-violet
145	zapdos	scarlet-violet
146	moltres	scarlet-violet
147	dratini	scarlet-violet
148	dragonair	scarlet-violet
149	dragonite	scarlet-violet
150	mewtwo	scarlet-violet
151	mew	scarlet-violet
